idno,tail,head
"892058820","65181913","929221967"
"1202859687","65182218","1147089034"
"55228101","65181859","65181853"
"1202841601","1147078829","65172596"
"55226323","65183722","65183726"
"825501401","881237164","806309216"
"825627106","65181773","881319296"
"888356613","65172809","926004544"
"55237150","65172918","65172921"
"55228418","65172815","65172843"
"822750725","65172936","879322923"
"822674136","879274176","65182014"
"55228854","65172806","65172798"
"999321188","65181994","1008538636"
"55228103","65172812","65172811"
"55229563","65182094","65182071"
"1202859571","65182335","1147088971"
"999336644","1008547522","1008518029"
"55229688","65182065","65181806"
"727815598","813348442","595856538"
"1103464937","1083405050","65181882"
"888355802","65172526","926004102"
"1220302247","1158104779","65183192"
"55227482","65182293","65182294"
"55228074","65172847","65172845"
"55229952","65181784","65181780"
"55227013","65181912","65181908"
"55226053","65174641","65174643"
"55227565","65182328","65182324"
"55225903","65174712","65174787"
"55228095","65183205","65183164"
"1220494539","1148273894","1158227664"
"55228186","65172963","65172939"
"55228027","65172850","65172847"
"55236068","65172895","65172894"
"55228379","65172513","65172519"
"1220281690","1158092064","65172536"
"822739797","65172312","879315947"
"55229455","65172783","65172777"
"822751278","65172622","879323262"
"55228608","65183162","65183152"
"55228002","65172816","65172818"
"1176423784","65172545","1130983605"
"55230069","65181778","65181782"
"55227921","65172816","65172863"
"55228060","65183186","65183239"
"55230075","65172648","65172621"
"1164953281","1123616286","65172483"
"1176300515","1130912018","1130912019"
"1103462086","1083403183","65174819"
"55230258","65172281","65172280"
"55226253","65174818","65174817"
"59048655","65172236","65172238"
"998662931","1008131865","882216059"
"1220245268","1158068457","65172782"
"55229341","65182271","65182073"
"59613514","540408217","540635758"
"584418570","718966171","65171211"
"1220137787","1158000112","1008352945"
"55229065","65182272","65182271"
"822750731","879322925","65172810"
"1176410307","1130912019","1130976018"
"55226191","65183645","65183644"
"55228567","65172971","65181816"
"1220203935","65181780","1158042731"
"55229890","65181789","65181781"
"55227840","65172888","65172882"
"55229525","65172776","65172781"
"717637436","65171215","806309214"
"55227541","65172860","65172857"
"851319790","898926777","758602666"
"55226951","65181921","65181979"
"55227011","65181882","65181878"
"1220416425","1158179641","1158138370"
"1220185138","65172273","1158030921"
"55226877","65181921","65183716"
"822727993","65172360","879308140"
"592395974","758594768","758594783"
"55230068","65182075","65182076"
"55230090","65181756","65181778"
"822647970","879256537","65172203"
"55229775","65172389","65172387"
"822764624","879331634","65181725"
"55236465","65172752","65172751"
"1220196945","1158038801","65172434"
"825501783","881237351","806309214"
"998641549","1008118375","65172874"
"55229640","65182069","65182068"
"822728715","879308619","65182452"
"55228902","65181838","65181832"
"822744730","65172304","879319105"
"888351893","926001982","65173001"
"55235952","65172830","65172829"
"763652125","65181852","838185200"
"822654659","879261127","879261126"
"1220137917","1158000183","1158000077"
"55227565","65182324","65182328"
"1176388296","1130914844","1130963391"
"998641553","65182211","1008118377"
"55229414","65181707","65181710"
"55227874","65172854","65172855"
"1220137916","880238169","1158000183"
"55228981","65172941","65172940"
"55226937","65173017","65173016"
"822661390","65172287","879265771"
"55228477","65172808","65172513"
"55226957","65182308","65182319"
"822738669","65172662","879315258"
"888360891","65172785","926007023"
"55228638","65172932","65172915"
"55230493","65172594","65172595"
"891795701","929054049","65181738"
"888355789","65172904","926004097"
"59588348","540371290","65174654"
"822727978","879308134","65172363"
"891833013","65181965","929077582"
"55228044","65172855","65172811"
"55236477","65172910","65172911"
"55225979","65174672","65174703"
"55229380","65182239","65182238"
"888435525","926051106","65182360"
"55228523","65181827","65181852"
"888420269","65182076","926042149"
"59611318","540635100","65172840"
"55230437","65172593","65172325"
"822727339","65183186","879307715"
"822779811","65181783","879341222"
"55229517","65172681","65172743"
"543237383","595868409","65182306"
"55228427","65182268","65182265"
"55229160","65172949","65181702"
"55227649","65172856","65172862"
"55226373","65174776","65174777"
"55228758","65182380","65182378"
"55228959","65181833","65181842"
"822654661","879261128","65172362"
"55226539","65183766","65183768"
"589121985","742752811","742752812"
"772971656","65172864","844677483"
"55229477","65172684","65172680"
"55228597","65172505","65172502"
"55228905","65182274","65182272"
"543237390","65183647","595868413"
"584418567","718966170","65171211"
"1203696752","1147601033","65182216"
"822750700","65172987","879322911"
"584402153","718946786","65174448"
"584402627","65172774","718947191"
"1223245462","65182390","65182381"
"888333955","925992143","838185198"
"55229948","65172221","65172226"
"891766468","929036093","65181949"
"1165432066","1123905734","879242831"
"55228680","65172944","65172943"
"543230493","595856536","65172789"
"543230506","65181707","595856541"
"822647971","65172228","879256537"
"55229457","65181787","65181788"
"55228248","65181828","65181852"
"55226229","65174828","65183635"
"55228885","65181939","65181941"
"1220301025","1158104138","65183207"
"55228624","65182269","65182273"
"824086462","65183631","880238267"
"55230487","65172595","65172593"
"999000212","65183661","1008352936"
"1220208252","1158045113","852920089"
"55229300","65182243","65182241"
"59048655","65172238","65172236"
"1165476915","65182321","1123932402"
"55228211","65181955","65181957"
"891842017","929083243","65181844"
"584402627","718947191","65172774"
"1000052338","1009005520","718946788"
"1220196946","1154634223","1158038801"
"55228550","65172925","65172932"
"589122037","742752975","65172414"
"55228539","65172504","65172503"
"55271974","65174436","65172570"
"891810706","65172906","65172905"
"55236670","65183186","65183187"
"55228284","65181959","65182265"
"1220245211","65172785","1158068417"
"1101663362","65172957","1082248338"
"55226162","65174652","65174650"
"999321187","65172867","1008538635"
"888355021","926003642","65183767"
"55226846","65174814","65173017"
"55227624","65172555","65172552"
"824087613","880238991","838185196"
"824144084","65172859","880275011"
"55236415","65181956","65181989"
"55229161","65181942","65181940"
"822722952","65172479","879304824"
"822764625","65181719","879331634"
"822661235","65172273","879265695"
"999286860","1008518029","595868413"
"799401671","863207280","65182238"
"55229381","65181805","65181940"
"55230464","65172307","65172592"
"55228294","65172981","65172970"
"55228305","65172846","65172844"
"822744980","65182093","879319273"
"55228585","65172507","65172509"
"55236423","65181813","65172950"
"851401243","65182386","898976095"
"55230463","65172593","65172592"
"55225685","65174809","65174801"
"55228166","65181860","65181859"
"55235966","65172797","65172800"
"55226814","65182313","65182310"
"1202859687","1147089034","65182218"
"55227581","65172856","65172864"
"55225957","65174673","65174671"
"1165818155","1124167623","65182023"
"55271984","65172434","65172428"
"55225759","65174832","65174834"
"55225980","65174673","65174674"
"55230218","65182028","65182027"
"55226321","65183640","65183641"
"822738681","879315263","879315258"
"888381360","926018923","65172661"
"55228442","65181828","65181823"
"55228474","65172844","65172842"
"888433828","926050166","65172280"
"727576140","65174844","65174841"
"55236405","65172525","65172526"
"55229338","65172747","65172684"
"999000216","1008352939","65183661"
"55228617","65172943","65172954"
"1202841604","65172651","1147078830"
"55227897","65172999","65172985"
"822745122","879319342","838166279"
"888357371","65172834","926005009"
"825501399","849129244","881237163"
"1220203980","65181775","1158042759"
"785019360","65181994","852921520"
"543230353","65174673","65174644"
"543231085","65182352","65182355"
"592395963","758594768","758594759"
"543231474","65181776","595858184"
"55272029","65182315","65182311"
"55228427","65182265","65182268"
"55230350","65172323","65172316"
"55228778","65182274","65182273"
"55235508","65183731","65183730"
"55235893","65173041","65174820"
"1220492714","1158226809","926042145"
"55227344","65181914","65181894"
"55236470","65172672","65172671"
"822751279","879323263","65172619"
"55229310","65172762","65172779"
"55229438","65172651","65172652"
"1220359178","65183217","1158139973"
"1176423781","1130914843","1130983604"
"822794244","65172427","879350768"
"822773135","65181719","879336929"
"824101638","880247874","65172513"
"55227807","65172889","65172888"
"55227191","65172903","65172901"
"888351909","540635086","926001988"
"55226837","65182312","65182313"
"888355765","65172885","926004086"
"763652123","838185199","65172830"
"888355019","926003641","65183771"
"55228223","65172843","65172817"
"998641552","1008118377","65182199"
"55229152","65172779","65172941"
"55236475","65172751","65172749"
"55229428","65182214","65182217"
"822674134","879274175","65182015"
"888355027","926003644","926003641"
"55229363","65182074","65182073"
"55228709","65172829","65172807"
"1176300512","1130912017","1130912016"
"55229356","65172685","65172748"
"888361113","758594763","926007156"
"891815030","929065986","65172909"
"59613106","540635682","65181956"
"888355776","926004091","65172897"
"55228580","65182371","65182391"
"999000213","1008352937","65183669"
"1220196740","1158038702","65172875"
"543237407","595868424","65183646"
"1220137704","1158000069","65183646"
"55229238","65172749","65172747"
"543231473","595858046","595858184"
