idno,tail,head,ora,vel_media
892058820,65181913,929221967,0,30
892058820,65181913,929221967,1,30
892058820,65181913,929221967,2,30
892058820,65181913,929221967,3,30
892058820,65181913,929221967,4,30
892058820,65181913,929221967,5,30
892058820,65181913,929221967,6,30
892058820,65181913,929221967,7,30
892058820,65181913,929221967,8,30
892058820,65181913,929221967,9,30
892058820,65181913,929221967,10,30
892058820,65181913,929221967,11,30
892058820,65181913,929221967,12,30
892058820,65181913,929221967,13,30
892058820,65181913,929221967,14,30
892058820,65181913,929221967,15,30
892058820,65181913,929221967,16,30
892058820,65181913,929221967,17,30
892058820,65181913,929221967,18,30
892058820,65181913,929221967,19,30
892058820,65181913,929221967,20,30
892058820,65181913,929221967,21,30
892058820,65181913,929221967,22,30
892058820,65181913,929221967,23,30
1202859687,65182218,1147089034,0,29
1202859687,65182218,1147089034,1,29
1202859687,65182218,1147089034,2,29
1202859687,65182218,1147089034,3,29
1202859687,65182218,1147089034,4,29
1202859687,65182218,1147089034,5,29
1202859687,65182218,1147089034,6,29
1202859687,65182218,1147089034,7,28
1202859687,65182218,1147089034,8,26
1202859687,65182218,1147089034,9,28
1202859687,65182218,1147089034,10,29
1202859687,65182218,1147089034,11,28
1202859687,65182218,1147089034,12,29
1202859687,65182218,1147089034,13,29
1202859687,65182218,1147089034,14,28
1202859687,65182218,1147089034,15,28
1202859687,65182218,1147089034,16,28
1202859687,65182218,1147089034,17,28
1202859687,65182218,1147089034,18,28
1202859687,65182218,1147089034,19,28
1202859687,65182218,1147089034,20,29
1202859687,65182218,1147089034,21,29
1202859687,65182218,1147089034,22,29
1202859687,65182218,1147089034,23,29
55228101,65181859,65181853,0,29
55228101,65181859,65181853,1,29
55228101,65181859,65181853,2,29
55228101,65181859,65181853,3,29
55228101,65181859,65181853,4,29
55228101,65181859,65181853,5,29
55228101,65181859,65181853,6,28
55228101,65181859,65181853,7,27
55228101,65181859,65181853,8,27
55228101,65181859,65181853,9,26
55228101,65181859,65181853,10,27
55228101,65181859,65181853,11,27
55228101,65181859,65181853,12,26
55228101,65181859,65181853,13,26
55228101,65181859,65181853,14,26
55228101,65181859,65181853,15,26
55228101,65181859,65181853,16,26
55228101,65181859,65181853,17,25
55228101,65181859,65181853,18,25
55228101,65181859,65181853,19,26
55228101,65181859,65181853,20,27
55228101,65181859,65181853,21,28
55228101,65181859,65181853,22,28
55228101,65181859,65181853,23,28
1202841601,1147078829,65172596,0,29
1202841601,1147078829,65172596,1,29
1202841601,1147078829,65172596,2,29
1202841601,1147078829,65172596,3,29
1202841601,1147078829,65172596,4,29
1202841601,1147078829,65172596,5,29
1202841601,1147078829,65172596,6,29
1202841601,1147078829,65172596,7,28
1202841601,1147078829,65172596,8,28
1202841601,1147078829,65172596,9,27
1202841601,1147078829,65172596,10,28
1202841601,1147078829,65172596,11,28
1202841601,1147078829,65172596,12,28
1202841601,1147078829,65172596,13,28
1202841601,1147078829,65172596,14,28
1202841601,1147078829,65172596,15,28
1202841601,1147078829,65172596,16,28
1202841601,1147078829,65172596,17,27
1202841601,1147078829,65172596,18,28
1202841601,1147078829,65172596,19,28
1202841601,1147078829,65172596,20,29
1202841601,1147078829,65172596,21,29
1202841601,1147078829,65172596,22,29
1202841601,1147078829,65172596,23,29
55226323,65183722,65183726,0,29
55226323,65183722,65183726,1,29
55226323,65183722,65183726,2,29
55226323,65183722,65183726,3,29
55226323,65183722,65183726,4,29
55226323,65183722,65183726,5,29
55226323,65183722,65183726,6,29
55226323,65183722,65183726,7,29
55226323,65183722,65183726,8,28
55226323,65183722,65183726,9,28
55226323,65183722,65183726,10,29
55226323,65183722,65183726,11,29
55226323,65183722,65183726,12,29
55226323,65183722,65183726,13,29
55226323,65183722,65183726,14,29
55226323,65183722,65183726,15,29
55226323,65183722,65183726,16,29
55226323,65183722,65183726,17,29
55226323,65183722,65183726,18,29
55226323,65183722,65183726,19,29
55226323,65183722,65183726,20,29
55226323,65183722,65183726,21,29
55226323,65183722,65183726,22,29
55226323,65183722,65183726,23,29
825501401,881237164,806309216,0,22
825501401,881237164,806309216,1,22
825501401,881237164,806309216,2,22
825501401,881237164,806309216,3,22
825501401,881237164,806309216,4,22
825501401,881237164,806309216,5,22
825501401,881237164,806309216,6,22
825501401,881237164,806309216,7,21
825501401,881237164,806309216,8,20
825501401,881237164,806309216,9,21
825501401,881237164,806309216,10,21
825501401,881237164,806309216,11,21
825501401,881237164,806309216,12,21
825501401,881237164,806309216,13,21
825501401,881237164,806309216,14,21
825501401,881237164,806309216,15,21
825501401,881237164,806309216,16,21
825501401,881237164,806309216,17,21
825501401,881237164,806309216,18,21
825501401,881237164,806309216,19,21
825501401,881237164,806309216,20,21
825501401,881237164,806309216,21,22
825501401,881237164,806309216,22,22
825501401,881237164,806309216,23,22
825627106,65181773,881319296,0,36
825627106,65181773,881319296,1,36
825627106,65181773,881319296,2,36
825627106,65181773,881319296,3,36
825627106,65181773,881319296,4,36
825627106,65181773,881319296,5,36
825627106,65181773,881319296,6,35
825627106,65181773,881319296,7,33
825627106,65181773,881319296,8,30
825627106,65181773,881319296,9,28
825627106,65181773,881319296,10,31
825627106,65181773,881319296,11,34
825627106,65181773,881319296,12,34
825627106,65181773,881319296,13,34
825627106,65181773,881319296,14,33
825627106,65181773,881319296,15,33
825627106,65181773,881319296,16,32
825627106,65181773,881319296,17,31
825627106,65181773,881319296,18,32
825627106,65181773,881319296,19,33
825627106,65181773,881319296,20,34
825627106,65181773,881319296,21,35
825627106,65181773,881319296,22,35
825627106,65181773,881319296,23,36
888356613,65172809,926004544,0,29
888356613,65172809,926004544,1,29
888356613,65172809,926004544,2,29
888356613,65172809,926004544,3,29
888356613,65172809,926004544,4,29
888356613,65172809,926004544,5,29
888356613,65172809,926004544,6,29
888356613,65172809,926004544,7,29
888356613,65172809,926004544,8,29
888356613,65172809,926004544,9,29
888356613,65172809,926004544,10,29
888356613,65172809,926004544,11,29
888356613,65172809,926004544,12,29
888356613,65172809,926004544,13,29
888356613,65172809,926004544,14,29
888356613,65172809,926004544,15,29
888356613,65172809,926004544,16,29
888356613,65172809,926004544,17,29
888356613,65172809,926004544,18,29
888356613,65172809,926004544,19,29
888356613,65172809,926004544,20,29
888356613,65172809,926004544,21,29
888356613,65172809,926004544,22,29
888356613,65172809,926004544,23,29
55237150,65172918,65172921,0,30
55237150,65172918,65172921,1,30
55237150,65172918,65172921,2,30
55237150,65172918,65172921,3,30
55237150,65172918,65172921,4,30
55237150,65172918,65172921,5,30
55237150,65172918,65172921,6,30
55237150,65172918,65172921,7,30
55237150,65172918,65172921,8,29
55237150,65172918,65172921,9,29
55237150,65172918,65172921,10,29
55237150,65172918,65172921,11,30
55237150,65172918,65172921,12,30
55237150,65172918,65172921,13,30
55237150,65172918,65172921,14,30
55237150,65172918,65172921,15,30
55237150,65172918,65172921,16,30
55237150,65172918,65172921,17,29
55237150,65172918,65172921,18,29
55237150,65172918,65172921,19,30
55237150,65172918,65172921,20,30
55237150,65172918,65172921,21,30
55237150,65172918,65172921,22,30
55237150,65172918,65172921,23,30
55228418,65172815,65172843,0,29
55228418,65172815,65172843,1,29
55228418,65172815,65172843,2,29
55228418,65172815,65172843,3,29
55228418,65172815,65172843,4,29
55228418,65172815,65172843,5,29
55228418,65172815,65172843,6,29
55228418,65172815,65172843,7,21
55228418,65172815,65172843,8,0
55228418,65172815,65172843,9,0
55228418,65172815,65172843,10,4
55228418,65172815,65172843,11,28
55228418,65172815,65172843,12,27
55228418,65172815,65172843,13,27
55228418,65172815,65172843,14,27
55228418,65172815,65172843,15,27
55228418,65172815,65172843,16,27
55228418,65172815,65172843,17,26
55228418,65172815,65172843,18,27
55228418,65172815,65172843,19,27
55228418,65172815,65172843,20,28
55228418,65172815,65172843,21,28
55228418,65172815,65172843,22,29
55228418,65172815,65172843,23,29
822750725,65172936,879322923,0,30
822750725,65172936,879322923,1,30
822750725,65172936,879322923,2,30
822750725,65172936,879322923,3,30
822750725,65172936,879322923,4,30
822750725,65172936,879322923,5,30
822750725,65172936,879322923,6,30
822750725,65172936,879322923,7,30
822750725,65172936,879322923,8,30
822750725,65172936,879322923,9,30
822750725,65172936,879322923,10,30
822750725,65172936,879322923,11,30
822750725,65172936,879322923,12,30
822750725,65172936,879322923,13,30
822750725,65172936,879322923,14,30
822750725,65172936,879322923,15,30
822750725,65172936,879322923,16,30
822750725,65172936,879322923,17,30
822750725,65172936,879322923,18,30
822750725,65172936,879322923,19,30
822750725,65172936,879322923,20,30
822750725,65172936,879322923,21,30
822750725,65172936,879322923,22,30
822750725,65172936,879322923,23,30
822674136,879274176,65182014,0,29
822674136,879274176,65182014,1,29
822674136,879274176,65182014,2,29
822674136,879274176,65182014,3,29
822674136,879274176,65182014,4,29
822674136,879274176,65182014,5,29
822674136,879274176,65182014,6,29
822674136,879274176,65182014,7,27
822674136,879274176,65182014,8,27
822674136,879274176,65182014,9,27
822674136,879274176,65182014,10,26
822674136,879274176,65182014,11,25
822674136,879274176,65182014,12,26
822674136,879274176,65182014,13,26
822674136,879274176,65182014,14,26
822674136,879274176,65182014,15,25
822674136,879274176,65182014,16,25
822674136,879274176,65182014,17,21
822674136,879274176,65182014,18,22
822674136,879274176,65182014,19,22
822674136,879274176,65182014,20,27
822674136,879274176,65182014,21,29
822674136,879274176,65182014,22,29
822674136,879274176,65182014,23,29
55228854,65172806,65172798,0,29
55228854,65172806,65172798,1,29
55228854,65172806,65172798,2,29
