,solarRadiationHigh,humidityAvg,tempAvg,windspeedAvg,precipRate,precipTotal
2024-09-27 10:34:14,25.0,86,16,0,0.0,0.0
2024-09-27 10:39:51,24.6,86,16,0,0.0,0.0
2024-09-27 10:42:01,24.7,86,17,0,0.0,0.0
2024-09-27 10:49:31,21.8,84,17,0,0.0,0.0
2024-09-27 10:54:56,21.0,84,17,0,0.0,0.0
2024-09-27 10:59:20,21.2,83,17,0,0.0,0.0
2024-09-27 11:04:45,21.2,82,17,0,0.0,0.0
2024-09-27 11:09:05,20.2,82,18,0,0.0,0.0
2024-09-27 11:14:33,20.2,82,18,0,0.0,0.0
2024-09-27 11:19:58,19.6,81,18,0,0.0,0.0
2024-09-27 11:24:22,20.2,80,18,0,0.0,0.0
2024-09-27 11:29:48,20.8,80,18,0,0.0,0.0
2024-09-27 11:34:12,20.7,79,19,0,0.0,0.0
2024-09-27 11:39:38,19.8,78,19,0,0.0,0.0
2024-09-27 11:43:58,37.9,76,19,0,1.27,0.0
2024-09-27 11:49:27,22.8,75,19,0,1.27,0.0
2024-09-27 11:54:53,22.7,75,19,0,1.27,0.0
2024-09-27 11:59:17,22.7,75,19,0,0.0,0.0
2024-09-27 12:04:43,22.3,74,19,0,0.0,0.0
2024-09-27 12:09:03,22.3,73,19,0,0.0,0.0
2024-09-27 12:14:32,22.5,74,20,0,0.0,0.0
2024-09-27 12:19:58,22.7,73,20,0,0.0,0.0
2024-09-27 12:24:22,23.0,72,20,0,0.0,0.0
2024-09-27 12:29:48,22.7,72,20,0,0.0,0.0
2024-09-27 12:34:12,22.2,70,20,0,0.0,0.0
2024-09-27 12:39:38,21.3,69,21,1,0.0,0.0
2024-09-27 12:43:58,21.6,68,21,0,0.0,0.0
2024-09-27 12:49:27,22.1,68,21,0,0.0,0.0
2024-09-27 12:54:53,22.5,68,21,0,0.0,0.0
2024-09-27 12:59:17,53.7,66,22,0,1.27,0.25
2024-09-27 13:04:43,64.0,66,22,1,1.27,0.25
2024-09-27 13:09:03,64.4,66,22,1,1.27,0.25
2024-09-27 13:14:32,60.5,65,22,1,0.0,0.25
2024-09-27 13:19:58,57.2,64,22,2,0.0,0.25
2024-09-27 13:24:22,51.2,63,22,1,0.0,0.25
2024-09-27 13:29:48,48.9,64,22,1,0.0,0.25
2024-09-27 13:34:12,50.0,64,22,0,0.0,0.25
2024-09-27 13:39:38,47.7,64,22,2,0.0,0.25
2024-09-27 13:43:58,48.5,64,23,1,0.0,0.25
2024-09-27 13:49:27,48.0,64,23,1,0.0,0.25
2024-09-27 13:54:53,46.5,64,23,1,0.0,0.25
2024-09-27 13:59:17,51.5,63,23,2,0.0,0.25
2024-09-27 14:04:43,76.5,63,23,2,0.0,0.25
2024-09-27 14:09:03,72.3,62,23,2,0.0,0.25
2024-09-27 14:14:32,76.8,63,23,0,0.0,0.25
2024-09-27 14:19:58,54.2,62,23,1,0.0,0.25
2024-09-27 14:24:22,45.5,62,23,1,0.0,0.25
2024-09-27 14:29:48,46.5,62,23,1,0.0,0.25
2024-09-27 14:34:12,45.0,62,24,1,0.0,0.25
2024-09-27 14:39:38,55.5,62,24,2,0.0,0.25
2024-09-27 14:43:58,52.5,62,24,1,0.0,0.25
2024-09-27 14:49:27,51.2,61,24,1,0.0,0.25
2024-09-27 14:54:53,50.5,61,24,2,0.0,0.25
2024-09-27 14:59:17,44.7,62,24,2,0.0,0.25
2024-09-27 15:04:43,45.0,61,24,2,0.0,0.25
2024-09-27 15:09:03,45.0,61,24,1,0.0,0.25
2024-09-27 15:14:32,49.5,61,24,1,0.0,0.25
2024-09-27 15:19:58,59.5,61,24,1,0.0,0.25
2024-09-27 15:24:22,53.9,61,24,1,0.0,0.25
2024-09-27 15:29:48,54.5,61,24,1,0.0,0.25
2024-09-27 15:34:12,66.8,61,24,1,0.0,0.25
2024-09-27 15:39:38,64.0,60,24,0,0.0,0.25
2024-09-27 15:43:58,55.5,60,24,3,0.0,0.25
2024-09-27 15:49:27,50.7,61,24,1,0.0,0.25
2024-09-27 15:54:53,43.7,61,24,0,0.0,0.25
2024-09-27 15:59:17,45.2,61,24,2,0.0,0.25
2024-09-27 16:04:43,50.5,61,24,1,0.0,0.25
2024-09-27 16:09:03,47.2,61,24,0,0.0,0.25
2024-09-27 16:14:43,41.2,61,24,1,0.0,0.25
2024-09-27 16:19:03,44.5,61,24,1,0.0,0.25
2024-09-27 16:24:32,43.5,61,24,1,0.0,0.25
2024-09-27 16:29:58,41.7,61,24,1,0.0,0.25
2024-09-27 16:34:27,39.0,61,24,1,0.0,0.25
2024-09-27 16:39:53,39.0,62,24,1,0.0,0.25
2024-09-27 16:44:13,39.0,63,24,1,0.0,0.25
2024-09-27 16:49:42,42.2,62,24,1,0.0,0.25
2024-09-27 16:54:03,37.0,63,24,2,0.0,0.25
2024-09-27 16:59:31,35.7,63,24,1,0.0,0.25
2024-09-27 17:04:57,35.2,63,24,1,0.0,0.25
2024-09-27 17:09:18,34.4,63,24,1,0.0,0.25
2024-09-27 17:14:47,32.2,63,24,1,0.0,0.25
2024-09-27 17:19:07,32.4,63,24,2,0.0,0.25
2024-09-27 17:24:37,31.6,64,24,3,0.0,0.25
2024-09-27 17:28:57,31.1,65,24,1,0.0,0.25
2024-09-27 17:34:26,30.2,65,24,1,0.0,0.25
2024-09-27 17:39:52,29.2,65,23,1,0.0,0.25
2024-09-27 17:44:12,28.6,65,23,1,0.0,0.25
2024-09-27 17:49:42,27.7,66,23,1,0.0,0.25
2024-09-27 17:54:02,26.8,67,23,1,0.0,0.25
2024-09-27 17:59:31,26.6,68,23,1,0.0,0.25
2024-09-27 18:04:57,25.3,68,23,1,0.0,0.25
2024-09-27 18:09:18,23.6,68,23,1,0.0,0.25
2024-09-27 18:14:47,22.3,69,23,1,0.0,0.25
2024-09-27 18:19:07,21.5,70,23,0,0.0,0.25
2024-09-27 18:24:37,20.2,70,23,1,0.0,0.25
2024-09-27 18:28:57,18.1,70,23,1,0.0,0.25
2024-09-27 18:34:32,17.5,71,22,1,0.0,0.25
2024-09-27 18:39:58,15.3,71,22,1,0.0,0.25
2024-09-27 18:44:18,13.6,71,22,0,0.0,0.25
2024-09-27 18:49:47,12.6,72,22,0,0.0,0.25
2024-09-27 18:54:08,10.1,72,22,0,0.0,0.25
2024-09-27 18:59:37,8.5,72,22,0,0.0,0.25
2024-09-27 19:03:58,6.5,72,22,0,0.0,0.25
2024-09-27 19:09:23,5.3,72,22,0,0.0,0.25
2024-09-27 19:14:52,3.7,72,22,0,0.0,0.25
2024-09-27 19:19:13,2.2,73,21,0,0.0,0.25
2024-09-27 19:24:42,1.5,73,21,0,0.0,0.25
2024-09-27 19:29:03,0.7,74,21,0,0.0,0.25
2024-09-27 19:34:32,0.3,75,21,0,0.0,0.25
2024-09-27 19:39:57,0.1,76,21,0,0.0,0.25
2024-09-27 19:44:18,0.0,77,21,0,0.0,0.25
2024-09-27 19:49:47,0.0,78,21,0,0.0,0.25
2024-09-27 19:54:07,0.0,79,20,0,0.0,0.25
2024-09-27 19:59:37,0.0,80,20,0,0.0,0.25
2024-09-27 20:03:57,0.0,80,20,0,0.0,0.25
2024-09-27 20:09:23,0.0,80,20,0,0.0,0.25
2024-09-27 20:14:52,0.0,81,20,0,0.0,0.25
2024-09-27 20:19:12,0.0,82,20,0,0.0,0.25
2024-09-27 20:24:42,0.0,82,20,0,0.0,0.25
2024-09-27 20:29:02,0.0,81,20,0,0.0,0.25
2024-09-27 20:34:31,0.0,81,20,0,0.0,0.25
2024-09-27 20:39:57,0.0,80,20,0,0.0,0.25
