,lane,hour,week,month,penalty,seasonality
0,1,0,1,1,0.12284039888719608,-0.3151360421054141
1,1,0,1,2,0.13542661809070605,-0.30889801830478303
2,1,0,1,3,0.2105776188320585,-0.6313971278422092
3,1,0,1,4,0.20516453374284171,-0.630950673468725
4,1,0,1,5,0.2160091499484904,-0.6318431640375083
5,1,0,1,6,0.17804701096267184,-0.5875528702319296
6,1,0,1,7,0.1850278438634675,-0.5497469181332885
7,1,0,1,8,0.15128020403189527,-0.646932948072418
8,1,0,1,9,0.17704710311771124,-0.6203192970634269
9,1,0,1,10,0.3698606437739825,-0.5591541365179896
10,1,0,1,11,0.502350850564285,-0.4593254330942041
11,1,0,1,12,0.14771760362158237,-0.30263330469805216
12,1,0,2,1,-0.11870160096463399,-0.5806889888409934
13,1,0,2,2,0.14653367206167853,-0.5066071074053443
14,1,0,2,3,0.06367887949140008,-0.6719439879815192
15,1,0,2,4,0.0672363897780268,-0.6711535884122651
16,1,0,2,5,0.06006412817936269,-0.6727328598211799
17,1,0,2,6,0.05629205930172036,-0.6724239991862326
18,1,0,2,7,0.2129307559401601,-0.6381728615517155
19,1,0,2,8,0.154077547732692,-0.6523665472540262
20,1,0,2,9,0.30408597557112127,-0.6498157077077719
21,1,0,2,10,0.35664039462114894,-0.6374098087762139
22,1,0,2,11,0.4788731627202971,-0.5898222674146373
23,1,0,2,12,0.3019856881675708,-0.4242044976327853
24,1,0,3,1,0.22669901671661233,-0.1264402800866568
25,1,0,3,2,0.2344789774721615,-0.07784508416237866
26,1,0,3,3,0.11661774469251009,-0.6372523468398995
27,1,0,3,4,0.08705843817426148,-0.6592561758491567
28,1,0,3,5,0.13815891474985323,-0.6141580200804833
29,1,0,3,6,0.053383027185054645,-0.6669902783184373
30,1,0,3,7,0.11599135426704069,-0.5745176141980033
31,1,0,3,8,0.11091911363271018,-0.6542325785193209
32,1,0,3,9,-0.28639523254040483,-0.6466336699650435
33,1,0,3,10,0.2078095226702354,-0.5523980804713138
34,1,0,3,11,0.2413997692710397,-0.5399430485473071
35,1,0,3,12,0.24144642886974144,-0.028877148158642996
36,1,0,4,1,0.13583796168759385,-0.5745176141980033
37,1,0,4,2,0.200500473691997,-0.45611041175987665
38,1,0,4,3,0.1066743203743162,-0.6408022034807307
39,1,0,4,4,0.13443034326385664,-0.6117465123592136
40,1,0,4,5,0.06483738830482216,-0.668131187054608
41,1,0,4,6,0.10937703931066645,-0.6603110541282401
42,1,0,4,7,0.17906082148246738,-0.585443301743026
43,1,0,4,8,0.17907211448746005,-0.638782402514217
44,1,0,4,9,-0.23003913264736078,-0.5996864436046191
45,1,0,4,10,0.5490281143036102,-0.35688844991830154
46,1,0,4,11,-0.18107703614839607,-0.5091841926657662
47,1,0,4,12,0.23326175344330002,-0.31900362250999376
48,1,0,5,1,0.10631361940742493,-0.46056948059455427
49,1,0,5,2,0.21892702643775155,-0.3447558139372891
50,1,0,5,3,0.11194946837597777,-0.5974440177620182
51,1,0,5,4,0.11684864796346553,-0.6134525520513183
52,1,0,5,5,0.10778283092692238,-0.5809446966126123
53,1,0,5,6,0.14612826007014726,-0.6284889779855571
54,1,0,5,7,0.23178815289696664,-0.5357377579483618
55,1,0,5,8,0.13730315665561946,-0.6283110697640815
56,1,0,5,9,0.21563031583036574,-0.5375694338325535
57,1,0,5,10,0.06214094454756497,-0.5734826326317579
58,1,0,5,11,0.3979320554574596,0.16648257245060652
59,1,0,5,12,0.2887002689327108,-0.2174003809936607
60,1,0,6,1,0.32711480144260674,0.4235896761608799
61,1,0,6,2,0.1592510076036524,0.5925750651323402
62,1,0,6,3,0.2043607584789574,-0.3528929377946344
63,1,0,6,4,0.21584877017719792,-0.36360452977730584
64,1,0,6,5,0.19325808675116396,-0.342088040133978
65,1,0,6,6,-0.033998079170378906,-0.47726586426722245
66,1,0,6,7,0.23536700408248717,0.04084549735560403
67,1,0,6,8,0.13141050142844507,-0.4398964009846091
68,1,0,6,9,0.07126328119911281,0.3254608455501275
69,1,0,6,10,0.01693640835399289,0.257708978982303
70,1,0,6,11,0.32190755357831435,0.6986228584774572
71,1,0,6,12,0.024633450796154796,0.7217040057384716
72,1,0,7,1,-0.0536673607631802,0.7391368088805917
73,1,0,7,2,-0.031944366419755926,0.7497134800507638
74,1,0,7,3,0.1934506577809937,-0.20590264554451615
75,1,0,7,4,0.19929069280038209,-0.174453899868025
76,1,0,7,5,0.1870925579363352,-0.23693174966337527
77,1,0,7,6,0.23107752636121381,-0.3550912092637435
78,1,0,7,7,0.27461665129349466,0.281198289447117
79,1,0,7,8,0.18074392446514595,-0.3315618531047143
80,1,0,7,9,-0.10714404406953854,0.5065677837872479
81,1,0,7,10,0.019295782584270987,0.6408674919861823
82,1,0,7,11,0.2467468675850343,0.8634890189041002
83,1,0,7,12,-0.010708498459058458,0.7599205191064824
84,1,1,1,1,0.06829631141744315,-0.43962349639292747
85,1,1,1,2,0.11125636759373948,-0.450590768122199
86,1,1,1,3,0.19696275682770775,0.03536046539230337
87,1,1,1,4,0.19924979345484212,-0.04373109262451162
88,1,1,1,5,0.1949987849361589,0.11401154346000557
89,1,1,1,6,0.23850228809449855,0.012246550254061761
90,1,1,1,7,-0.0017589939704888398,-0.45820043801909444
91,1,1,1,8,0.053937384738564756,-0.6165190428472755
